ID,0,1,2,3
Time,2026-Apr-16 14:21:38,2026-Apr-16 14:21:39,2026-Apr-16 14:21:39,2026-Apr-16 14:21:40
API Call ID,644,646,648,658
Estimated Speedup [%],26.79,28.30,26.79,53.91
Runtime Improvement [us],1.88,2.01,1.88,5.02
Issues Detected [issue],8,8,8,17
Function Name,float2half_kernel,float2half_kernel,float2half_kernel,f3s_1tb1rw_kernel
Mangled Name,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17f3s_1tb1rw_kernelPK6__halfS1_S1_PfPKiS4_S4_ii
Demangled Name,float2half_kernel..,float2half_kernel..,float2half_kernel..,f3s_1tb1rw_kernel..
Original Demangled Name,"float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","f3s_1tb1rw_kernel(const __half *, const __half *, const __half *, float *, const int *, const int *, const int *, int, int)"
Process,[21176] test_fused_3s_v2.exe,[21176] test_fused_3s_v2.exe,[21176] test_fused_3s_v2.exe,[21176] test_fused_3s_v2.exe
Thread ID [thread],34980,34980,34980,34980
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x2446e0d86a0,0x2446e0d86a0,0x2446e0d86a0,0x2446e4f7f40
CUfunction,0x2446dee4fc0,0x2446dee4fc0,0x2446dee4fc0,0x2446dee2e10
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"  832,    1,    1","  832,    1,    1","  832,    1,    1","  208,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1","  256,    1,    1","   32,    4,    1"
Grid Dimensions,3,3,3,3
Result Type,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"14,842","15,026","14,776","19,617"
gpu__time_duration.sum [us],7.01,7.10,7.01,9.31
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],13.47,13.30,13.53,24.87
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],73.21,71.70,73.21,42.80
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{609},{1824},{546},{1826}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{609},{1824},{546},{1826}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{609},{1824},{546},{1826}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],832 {428},832 {507},832 {621},208 {631}
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],0.45 {609},0.45 {1824},0.45 {546},0.11 {1826}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{442},{449},{552},{1023}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{442},{449},{552},{1023}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0.12 {442},0.11 {449},0.09 {552},0.39 {1023}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0.07 {442},0.07 {449},0.06 {552},0.10 {1023}
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,6.00 {442},5.80 {449},6.00 {552},8.25 {1023}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],2.47 {442},2.74 {449},2.51 {552},9.48 {1023}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],2.35 {442},2.35 {449},2.35 {552},9.00 {1023}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{442},{449},{552},{1023}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],0.06 {609},0.02 {1824},0.07 {546},0.08 {1826}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],{442},{449},{552},{1023}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],0.04 {609},0.01 {1824},0.04 {546},0.09 {1826}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],0 {609},0 {1824},0 {546},0.01 {1826}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_elapsed [warp],232.66 {609},230.24 {1824},235.01 {546},322.93 {1826}
TriageAC.tpc__warps_active_realtime.sum.per_cycle_elapsed [warp],"4,653.12 {609}","4,604.82 {1824}","4,700.27 {546}","6,458.53 {1826}"
