ID,0,1,2,3
Time,2026-Apr-16 14:15:15,2026-Apr-16 14:15:16,2026-Apr-16 14:15:17,2026-Apr-16 14:15:17
API Call ID,644,646,648,658
Estimated Speedup [%],26.79,26.27,26.79,65.09
Runtime Improvement [us],1.88,1.84,1.89,9.27
Issues Detected [issue],8,8,8,18
Function Name,float2half_kernel,float2half_kernel,float2half_kernel,f3s_1tb1rw_kernel
Mangled Name,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17f3s_1tb1rw_kernelPK6__halfS1_S1_PfPKiS4_S4_ii
Demangled Name,float2half_kernel..,float2half_kernel..,float2half_kernel..,f3s_1tb1rw_kernel..
Original Demangled Name,"float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","f3s_1tb1rw_kernel(const __half *, const __half *, const __half *, float *, const int *, const int *, const int *, int, int)"
Process,[28652] test_fused_3s_v0.exe,[28652] test_fused_3s_v0.exe,[28652] test_fused_3s_v0.exe,[28652] test_fused_3s_v0.exe
Thread ID [thread],29140,29140,29140,29140
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x1929a81e490,0x1929a81e490,0x1929a81e490,0x1929ac3cd70
CUfunction,0x1929a633cb0,0x1929a633cb0,0x1929a633cb0,0x1929a636800
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"  832,    1,    1","  832,    1,    1","  832,    1,    1","  208,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1","  256,    1,    1","  128,    1,    1"
Grid Dimensions,3,3,3,3
Result Type,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"14,795","14,755","14,849","30,239"
gpu__time_duration.sum [us],7.01,7.01,7.04,14.24
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],13.51,13.55,13.47,16.05
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],73.21,73.73,73.21,41.60
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{531},{570},{711},{626}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{531},{570},{711},{626}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{531},{570},{711},{626}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],832 {676},832 {541},832 {611},208 {578}
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],0.45 {531},0.45 {570},0.45 {711},0.11 {626}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{650},{566},{1640},{453}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{650},{566},{1640},{453}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0.08 {650},0.09 {566},0.03 {1640},1.30 {453}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0.05 {650},0.06 {566},0.02 {1640},0.17 {453}
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,5.75 {650},5.84 {566},5.94 {1640},12.70 {453}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],2.64 {650},2.60 {566},2.52 {1640},8.03 {453}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],2.35 {650},2.35 {566},2.35 {1640},7.82 {453}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{650},{566},{1640},{453}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],0.07 {531},0.07 {570},0.11 {711},0.21 {626}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],{650},{566},{1640},{453}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],0.04 {531},0.04 {570},0.15 {711},0.22 {626}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],0 {531},0 {570},0.16 {711},0.02 {626}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_elapsed [warp],233.52 {531},233.32 {570},"1,112.77 {711}",204.57 {626}
TriageAC.tpc__warps_active_realtime.sum.per_cycle_elapsed [warp],"4,670.38 {531}","4,666.36 {570}","22,255.36 {711}","4,091.41 {626}"
