ID,0,1,2,3
Time,2026-Apr-16 14:16:19,2026-Apr-16 14:16:20,2026-Apr-16 14:16:20,2026-Apr-16 14:16:21
API Call ID,644,646,648,658
Estimated Speedup [%],30.63,30.61,31.59,53.21
Runtime Improvement [us],1.85,1.84,1.98,4.67
Issues Detected [issue],8,8,8,17
Function Name,float2half_kernel,float2half_kernel,float2half_kernel,f3s_1tb1rw_kernel
Mangled Name,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17f3s_1tb1rw_kernelPK6__halfS1_S1_PfPKiS4_S4_ii
Demangled Name,float2half_kernel..,float2half_kernel..,float2half_kernel..,f3s_1tb1rw_kernel..
Original Demangled Name,"float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","f3s_1tb1rw_kernel(const __half *, const __half *, const __half *, float *, const int *, const int *, const int *, int, int)"
Process,[7784] test_fused_3s_v2.exe,[7784] test_fused_3s_v2.exe,[7784] test_fused_3s_v2.exe,[7784] test_fused_3s_v2.exe
Thread ID [thread],30648,30648,30648,30648
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x2a32cc67060,0x2a32cc67060,0x2a32cc67060,0x2a32ce1bfe0
CUfunction,0x2a32caab570,0x2a32caab570,0x2a32caab570,0x2a32caaba40
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"  680,    1,    1","  680,    1,    1","  680,    1,    1","  170,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1","  256,    1,    1","   32,    4,    1"
Grid Dimensions,3,3,3,3
Result Type,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"12,759  (-99.19%)","12,713  (-99.20%)","13,245  (-99.16%)","18,383  (-98.84%)"
gpu__time_duration.sum [us],6.05  (-99.18%),6.02  (-99.19%),6.27  (-99.15%),8.77  (-98.82%)
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],12.81 (+181.26%),12.86 (+182.25%),12.33 (+170.71%),21.69 (+375.98%)
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],69.37 (+596.80%),69.39 (+596.93%),68.41 (+587.11%),37.19 (+273.51%)
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{661},{425},{640},{495}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{661},{425},{640},{495}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{661},{425},{640},{495}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],"680 (+6,081.82%) {497}","680 (+6,081.82%) {770}","680 (+6,081.82%) {650}","170 (+1,445.45%) {837}"
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],"0.37 (+6,100.27%) {661}","0.37 (+6,112.76%) {425}","0.37 (+6,105.81%) {640}","0.09 (+1,447.14%) {495}"
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{658},{515},{1643},{476}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{658},{515},{1643},{476}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0.06  (-98.78%) {658},0.08  (-98.46%) {515},0.03  (-99.51%) {1643},0.68  (-86.89%) {476}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0.04  (-97.35%) {658},0.05  (-96.62%) {515},0.02  (-98.94%) {1643},0.19  (-87.22%) {476}
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,4.90  (-97.99%) {658},4.78  (-98.04%) {515},4.93  (-97.98%) {1643},7.56  (-96.90%) {476}
