ID,0,1,2,3
Time,2026-Apr-16 14:15:35,2026-Apr-16 14:15:36,2026-Apr-16 14:15:36,2026-Apr-16 14:15:37
API Call ID,644,646,648,658
Estimated Speedup [%],30.91,30.63,27.38,75.88
Runtime Improvement [us],1.88,1.85,1.90,15.66
Issues Detected [issue],8,8,8,16
Function Name,float2half_kernel,float2half_kernel,float2half_kernel,f3s_1tb1rw_kernel
Mangled Name,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17float2half_kernelPKfP6__halfi,_Z17f3s_1tb1rw_kernelPK6__halfS1_S1_PfPKiS4_S4_ii
Demangled Name,float2half_kernel..,float2half_kernel..,float2half_kernel..,f3s_1tb1rw_kernel..
Original Demangled Name,"float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","float2half_kernel(const float *, __half *, int)","f3s_1tb1rw_kernel(const __half *, const __half *, const __half *, float *, const int *, const int *, const int *, int, int)"
Process,[32920] test_fused_3s_v1.exe,[32920] test_fused_3s_v1.exe,[32920] test_fused_3s_v1.exe,[32920] test_fused_3s_v1.exe
Thread ID [thread],36648,36648,36648,36648
Device Name,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU,NVIDIA GeForce RTX 4050 Laptop GPU
CUprogram,0x2164cfa6890,0x2164cfa6890,0x2164cfa6890,0x2164d4c35a0
CUfunction,0x2164cfdcee0,0x2164cfdcee0,0x2164cfdcee0,0x2164cfdc540
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"  680,    1,    1","  680,    1,    1","  680,    1,    1","  170,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1","  256,    1,    1","   32,    4,    1"
Grid Dimensions,3,3,3,3
Result Type,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"12,860  (-99.19%)","12,772  (-99.19%)","14,660  (-99.07%)","43,808  (-97.23%)"
gpu__time_duration.sum [us],6.08  (-99.18%),6.05  (-99.18%),6.94  (-99.06%),20.64  (-97.22%)
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],12.71 (+178.98%),12.79 (+180.75%),11.14 (+144.49%),20.90 (+358.70%)
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],69.09 (+593.98%),69.37 (+596.80%),72.62 (+629.42%),61.48 (+517.56%)
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],{1114},{519},{423},{538}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],{1114},{519},{423},{538}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],{1114},{519},{423},{538}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],"680 (+6,081.82%) {1174}","680 (+6,081.82%) {467}","680 (+6,081.82%) {632}","170 (+1,445.45%) {571}"
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],"0.37 (+6,103.60%) {1114}","0.37 (+6,107.66%) {519}","0.37 (+6,087.82%) {423}","0.09 (+1,445.45%) {538}"
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],{1162},{466},{617},{685}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],{1162},{466},{617},{685}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0.04  (-99.30%) {1162},0.09  (-98.27%) {466},0.07  (-98.71%) {617},1.85  (-64.35%) {685}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0.02  (-98.50%) {1162},0.05  (-96.27%) {466},0.04  (-97.18%) {617},0.22  (-85.19%) {685}
SM_A.TriageAC.sm__cycles_active.avg.per_cycle_elapsed,4.82  (-98.02%) {1162},5.03  (-97.93%) {466},5.85  (-97.60%) {617},18.79  (-92.29%) {685}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_active [inst/cycle],1.97  (-98.99%) {1162},2.07  (-98.95%) {466},2.13  (-98.92%) {617},17.10  (-91.29%) {685}
SM_A.TriageAC.sm__inst_executed_realtime.avg.per_cycle_elapsed [inst/cycle],1.92  (-97.86%) {1162},1.92  (-97.87%) {466},1.92  (-97.87%) {617},15.45  (-82.81%) {685}
SM_A.TriageSCG.l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],{1162},{466},{617},{685}
SM_A.TriageSCG.sm__inst_executed_pipe_alu_realtime.avg.pct_of_peak_sustained_elapsed [%],0.03  (-97.20%) {1114},0.06  (-94.00%) {519},0.08  (-92.65%) {423},0.55  (-46.34%) {538}
SM_B.TriageAC.l1tex__t_sector_hit_rate.pct [%],{1162},{466},{617},{685}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmaheavy.avg.pct_of_peak_sustained_elapsed [%],0.02  (-96.29%) {1114},0.04  (-92.05%) {519},0.05  (-90.26%) {423},0.47   (+1.52%) {538}
SM_C.TriageSCG.smsp__inst_executed_pipe_fmalite.avg.pct_of_peak_sustained_elapsed [%],0 (-100.00%) {1114},0 (-100.00%) {519},0 (-100.00%) {423},0.05  (-73.36%) {538}
TriageAC.tpc__warps_active_realtime.avg.per_cycle_elapsed [warp],199.74  (-85.13%) {1114},194.29  (-85.54%) {519},227.66  (-83.05%) {423},596.73  (-55.58%) {538}
TriageAC.tpc__warps_active_realtime.sum.per_cycle_elapsed [warp],"3,994.71  (-85.13%) {1114}","3,885.83  (-85.54%) {519}","4,553.17  (-83.05%) {423}","11,934.57  (-55.58%) {538}"
breakdown:gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,"dram__cycles_active.avg.pct_of_peak_sustained_elapsed,fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed","dram__cycles_active.avg.pct_of_peak_sustained_elapsed,fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed","dram__cycles_active.avg.pct_of_peak_sustained_elapsed,fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed","dram__cycles_active.avg.pct_of_peak_sustained_elapsed,fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed"
